Basin,Coeff.,Expon.,Zmax,Zinit
  1,0.7760, 3.144, 0.100, 0.0982
  2,0.0400, 3.220, 0.070, 0.0358
  3,0.4270, 2.813, 0.125, 0.0678
  4,0.0140, 5.861, 0.055, 0.0358
  5,0.0400, 2.000, 0.125, 0.0765
  6,0.2800, 3.689, 0.125, 0.1148
  7,0.2280, 3.912, 0.125, 0.0861
  8,0.2280, 3.439, 0.125, 0.1016
  9,0.2850, 3.555, 0.100, 0.0743
 10,0.0090, 5.298, 0.125, 0.0309
 11,0.0140, 4.587, 0.125, 0.0549
 12,0.0400, 2.000, 0.125, 0.5000
 13,0.0400, 2.000, 0.125, 0.5000
 14,0.0400, 2.000, 0.125, 0.5000
 15,0.0400, 2.000, 0.125, 0.5000
