# Header section that describes the following GRIB 2 table(s)
#
# Ind | center | subcenter | Master Tbl Version | Local Tbl Version |
#-----+--------+-----------+--------------------+-------------------+
  -1  |    255 |       255 |                  1 |                 1 |
#
# The table itself
#
# The precision is controlled by the decimal and binary scale factors.  
#
# The decimal scale factor is the number of digits after the decimal point 
#   that are retained.  If negative, precision is reduced by 10**dec (i.e.,
#   -1 would reduce the precision to the nearest factor of 10).
#
# When the decimal scale factor is 0, the binary scale factor indicates the
#   precision of the data in bits.
#
# The grib2 docuementation, available from http://, describes the decimal
#   and binary scale factors in more detail.
# 
#   
#
#Dis|Cat|Prm|           |                                          |Dec |Bin |
#cip|gor|Num| WRF Id(s) | Description                              |Fctr|Fctr|
#---+---+---+-----------+------------------------------------------+----+----+
  0 | 0 | 0 | T2,TSK    | Temperature                              |  2 |  0 |
  0 | 0 | 2 | TH2,THZ0,T| Potential Temperature                    |  1 |  0 |
  0 | 0 |192| T_INIT    | Initial Potential Temperature            |  3 |  0 |
  0 | 0 |193| RTHFTEN   | Temp. Tendency in Grell Cumulus [K/s]    |  6 |  0 |
  0 | 0 |194| T_BASE    | Base State T in Idealized Cases [K]      |  2 |  0 |
  0 | 0 |195| T_1       | Restart Parameter                        |  4 |  0 |
  0 | 0 |196| T_2       | Restart Parameter                        |  4 |  0 |
  0 | 0 |197| H_DIABATIC| Previous Timestep Condensational heating |  7 |  0 |
  0 | 0 |198| RTHCUTEN  | Coupled theta tend(cumulus sch)[Pa K s-1]|  3 |  0 |
  0 | 0 |199| RTHRATEN  | Coupled theta tend due to radia [Pa K/s] |  3 |  0 |
  0 | 0 |200| RTHRATLW  | Coupled theta tend due to lw rad [Pa K/s]|  3 |  0 |
  0 | 0 |201| RTHRATSW  | Coupled theta tend due to sw rad [Pa K/s]|  3 |  0 |
  0 | 0 |202| MOL       | TStar in Similarity theory [K]           |  3 |  0 |
  0 | 0 |203| THC       | Thermal Inertia [Cal /(cm K s^.5)]       |  3 |  0 |
  0 | 0 |204| RTHBLTEN  | Coupled theta tend due to PBL [Pa K/s]   |  4 |  0 |
  0 | 1 | 0 | QSFC      | Specific Humidity [kg/kg]                |  5 |  0 |
  0 | 1 | 2 |QVAPOR,Q2,QVG|Humidity Mixing Ratio [kg/kg]           |  5 |  0 |
  0 | 1 | 6 |SFCEVP     | Evaporation [kg/m^2]                     |  3 |  0 |
  0 | 1 | 9 | RAINNC    | Large-scale precip (non-conv)[Kg/m^2]    |  2 |  0 |
